MUN,viv9,viv17,viv23,viv35,viv36,POB1,POB8,POB18,POB24,POB31,POB38,POB51,POB55,POB57,POB64,POB76,POB80,INDI1,INDI2,INDI3
1,45692,1528,1111,25251,133169,877190,245650,631540,52170,451459,209354,329653,29086,425731,123844,301887,23084,2395,888,1507
2,3661,140,646,3060,9705,46464,15415,31049,2958,23719,10992,16041,1542,22745,7737,15008,1416,18,9,9
3,4636,135,123,3986,11677,56048,17332,38716,4722,28750,13542,20203,2369,27298,8785,18513,2353,69,19,50
4,1346,21,68,902,3190,15577,5090,10487,998,8025,3647,5436,519,7552,2501,5051,479,7,1,6
5,8673,273,210,3221,18925,120405,39825,80580,4820,60270,29153,40859,2397,60135,20414,39721,2423,295,97,198
6,3755,124,145,1959,8025,46473,15353,31120,2440,23983,11418,16263,1314,22490,7633,14857,1126,72,44,28
7,4299,193,318,2851,9929,53866,18160,35706,2905,27173,12740,18582,1597,26693,9569,17124,1308,71,23,48
8,790,34,103,436,1875,8896,3042,5854,625,4620,2120,3118,310,4276,1540,2736,315,28,17,11
9,1815,66,142,1334,4484,20926,6895,14031,1524,10729,4986,7286,782,10197,3452,6745,742,44,8,36
10,1730,128,308,1385,4597,20245,6542,13703,1371,10263,4775,7090,715,9982,3369,6613,656,14,8,6
11,3874,96,70,1150,9158,46454,16271,30183,1586,23462,11447,15495,793,22992,8304,14688,793,92,26,66
